Date: Time, TimeSinceLoad(s), PPID, TimeStamp (Shimmer),Skin Conductance,Skin Resistance,PPG,HRV,Heart Rate,X (Shimmer),Y (Shimmer),Z (Shimmer),Gyro P (Shimmer),Gyro R (Shimmer),Gyro Y (Shimmer),Event
0:25/12/2019 16:59:07.189,2.857657, 4_Baseline, 436015.0139431, 2819, 1016.77661132813, 1378.75463867188, 656.25, 91.4285736083984, -5.08677434921265, -4.52663087844849, 7.42788743972778, 1.78625953197479, -0.335877865552902, 1.60305345058441,Starts - Go Pro
0:25/12/2019 16:59:07.189,2.857683, 4_Baseline, 436015.0378956, 2817, 1017.71990966797, 1377.28942871094, 656.25, 91.4285736083984, -5.08198690414429, -4.50748062133789, 7.43267488479614, 1.98473286628723, -0.274809151887894, 1.37404584884644,Starts - Go Pro
0:25/12/2019 16:59:07.189,2.857706, 4_Baseline, 436015.0381093, 2819, 1016.77661132813, 1372.1611328125, 656.25, 91.4285736083984, -5.07001781463623, -4.52184343338013, 7.43506860733032, 2.09160304069519, -0.412213742733002, 1.06870234012604,Starts - Go Pro
0:25/12/2019 16:59:07.189,2.857729, 4_Baseline, 436015.0398466, 2818, 1017.248046875, 1369.96337890625, 656.25, 91.4285736083984, -5.07241153717041, -4.49311780929565, 7.45182514190674, 2.22900772094727, -0.366412222385406, 1.175572514534,Starts - Go Pro
0:25/12/2019 16:59:07.189,2.857752, 4_Baseline, 436015.0458138, 2818, 1017.248046875, 1367.03295898438, 656.25, 91.4285736083984, -5.07480573654175, -4.47875547409058, 7.44225025177002, 2.15267181396484, -0.687022924423218, 1.14503812789917,Starts - Go Pro
0:25/12/2019 16:59:07.189,2.857779, 4_Baseline, 436015.0637382, 2817, 1017.71990966797, 1367.03295898438, 656.25, 91.4285736083984, -5.05326175689697, -4.48114919662476, 7.45182514190674, 1.77099239826202, -1.08396947383881, 0.870229005813599,Starts - Go Pro
0:25/12/2019 16:59:07.189,2.857801, 4_Baseline, 436015.0657717, 2818, 1017.248046875, 1368.49816894531, 656.25, 91.4285736083984, -5.07480573654175, -4.46678638458252, 7.43746280670166, 1.89312982559204, -0.732824444770813, 0.732824444770813,Starts - Go Pro
0:25/12/2019 16:59:07.189,2.857824, 4_Baseline, 436015.0697473, 2818, 1017.248046875, 1369.96337890625, 656.25, 91.4285736083984, -5.04847383499146, -4.4691801071167, 7.47097539901733, 1.67938935756683, -1.20610690116882, 0.763358771800995,Starts - Go Pro
0:25/12/2019 16:59:07.218,2.887116, 4_Baseline, 436015.0896925, 2817, 1017.71990966797, 1371.42858886719, 656.25, 91.4285736083984, -5.03889894485474, -4.45481729507446, 7.43506860733032, 1.52671754360199, -1.22137403488159, 0.778625965118408,Starts - Go Pro
0:25/12/2019 16:59:07.218,2.887158, 4_Baseline, 436015.0898621, 2816, 1018.19226074219, 1375.09155273438, 656.25, 91.4285736083984, -5.05086755752563, -4.45242357254028, 7.41113090515137, 1.4351145029068, -1.02290081977844, 0.824427485466003,Starts - Go Pro
0:25/12/2019 16:59:07.228,2.897006, 4_Baseline, 436015.1136027, 2817, 1017.71990966797, 1380.95239257813, 656.25, 91.4285736083984, -5.07241153717041, -4.45242357254028, 7.45421886444092, 1.06870234012604, -1.20610690116882, 0.900763332843781,Starts - Go Pro
0:25/12/2019 16:59:07.228,2.897055, 4_Baseline, 436015.113748, 2816, 1018.19226074219, 1385.34802246094, 656.25, 91.4285736083984, -5.04847383499146, -4.4500298500061, 7.43267488479614, 0.793893158435822, -1.19083964824677, 0.427480906248093,Starts - Go Pro
0:25/12/2019 16:59:07.228,2.897096, 4_Baseline, 436015.1155797, 2816, 1018.19226074219, 1389.74353027344, 656.25, 91.4285736083984, -5.06044292449951, -4.44763612747192, 7.4446439743042, 0.80916029214859, -1.3893129825592, 0.549618303775787,Starts - Go Pro
0:25/12/2019 16:59:07.229,2.897184, 4_Baseline, 436015.1177191, 2816, 1018.19226074219, 1394.13916015625, 656.25, 91.4285736083984, -5.0245361328125, -4.46439266204834, 7.46140050888062, 0.732824444770813, -1.37404584884644, 0.534351170063019,Starts - Go Pro
0:25/12/2019 16:59:07.246,2.914546, 4_Baseline, 436015.1395899, 2816, 1018.19226074219, 1396.33703613281, 656.25, 91.4285736083984, -5.03411149978638, -4.4691801071167, 7.44703769683838, 0.534351170063019, -1.37404584884644, 0.381679385900497,Starts - Go Pro
0:25/12/2019 16:59:07.246,2.914577, 4_Baseline, 436015.1398065, 2815, 1018.66497802734, 1400.73254394531, 656.25, 91.4285736083984, -5.01017332077026, -4.47875547409058, 7.47336912155151, 1.06870234012604, -1.67938935756683, 0.47328245639801,Starts - Go Pro
0:25/12/2019 16:59:07.273,2.941264, 4_Baseline, 436015.1645466, 2816, 1018.19226074219, 1405.86083984375, 656.25, 91.4285736083984, -5.02692985534668, -4.46678638458252, 7.46379423141479, 1.14503812789917, -1.86259543895721, 0.0152671756222844,Starts - Go Pro
0:25/12/2019 16:59:07.273,2.941307, 4_Baseline, 436015.1664655, 2814, 1019.13818359375, 1416.84985351563, 656.25, 91.4285736083984, -5.02932357788086, -4.42848587036133, 7.44703769683838, 1.41984736919403, -1.84732818603516, -0.0916030555963516,Starts - Go Pro
0:25/12/2019 16:59:07.273,2.941331, 4_Baseline, 436015.1668077, 2815, 1018.66497802734, 1430.76928710938, 656.25, 91.4285736083984, -5.02932357788086, -4.41172933578491, 7.49012565612793, 0.946564912796021, -2.03053426742554, 0.244274809956551,Starts - Go Pro
