timestamp,TIMESTAMP,ACCEL_X,ACCEL_Y,ACCEL_Z,GYRO_P,GYRO_R,GYRO_Y,GSR_RES,GSR_CON,PPG_RAW,HEART_RATE,HRV,TEMP
20645.01706,1421590.375,-4.529024601,8.095750809,-0.959904253,-0.732824445,-1.55725193,-1.206106901,283.3904724,3030,1280.58606,55.65217209,1078.125,0
20645.03712,1421598.25,-4.584081173,8.007181168,-0.94554162,-0.641221344,-1.526717544,-0.97709924,283.5109863,3029,1270.329712,55.65217209,1078.125,0
20645.03826,1421606,-4.550568581,8.01914978,-0.947935343,-0.564885497,-1.786259532,-1.221374035,283.5109863,3029,1263.003662,55.65217209,1078.125,0
20645.03954,1421613.875,-4.605625153,8.021544456,-0.926391363,-0.549618304,-1.083969474,-1.175572515,283.5109863,3029,1256.410278,55.65217209,1078.125,0
20645.05396,1421621.625,-4.59365654,8.031119347,-0.919210076,-0.53435117,-0.610687017,-1.343511462,283.2700806,3031,1252.014648,55.65217209,1078.125,0
20645.05504,1421629.5,-4.564931393,8.076601028,-0.969479382,-0.702290058,-1.312977076,-1.618320584,283.3904724,3030,1246.153809,55.65217209,1078.125,0
20645.07383,1421637.25,-4.57211256,8.114901543,-0.974266887,-1.236641169,-0.870229006,-1.95419848,283.5109863,3029,1237.362671,55.65217209,1078.125,0
20645.08794,1421645.125,-4.545781136,8.076601028,-0.955116689,-1.389312983,-1.221374035,-1.633587837,283.2700806,3031,1229.304077,54.46808624,1101.5625,0
20645.08894,1421652.875,-4.584081173,7.952124596,-0.986235797,-1.694656491,-1.206106901,-0.24427481,283.3904724,3030,1221.245361,54.46808624,1101.5625,0
20645.0962,1421660.75,-4.588869095,7.944942951,-0.986235797,-1.786259532,-1.02290082,0.503816783,283.3904724,3030,1216.849854,54.46808624,1101.5625,0
20645.10189,1421668.5,-4.574506283,7.983243465,-0.971873105,-1.328244328,-0.595419824,0.58015269,283.5109863,3029,1213.186768,54.46808624,1101.5625,0
20645.10788,1421676.375,-4.536205769,7.97845602,-0.964691818,-1.51145041,-0.961832047,1.603053451,283.5109863,3029,1210.25647,54.46808624,1101.5625,0
20645.12387,1421684.125,-4.517055511,8.050269127,-0.959904253,-1.450381637,-1.236641169,2.152671814,283.5109863,3029,1208.79126,54.46808624,1101.5625,0
20645.12494,1421692,-4.574506283,8.16517067,-0.897666097,-1.648854971,-0.687022924,1.038167953,283.5109863,3029,1209.523804,54.46808624,1101.5625,0
20645.13841,1421699.75,-4.576900005,8.203471184,-0.902453601,-2.213740349,-0.4427481,0.076335877,283.6316223,3028,1210.989014,54.46808624,1101.5625,0
20645.14477,1421707.625,-4.548174858,8.27767849,-0.916816294,-2.335877895,-0.839694679,-0.885496199,283.6316223,3028,1213.186768,54.46808624,1101.5625,0
20645.15485,1421715.375,-4.548174858,8.265708923,-0.892878532,-1.02290082,-0.641221344,-1.419847369,283.5109863,3029,1216.117188,54.46808624,1101.5625,0
20645.16174,1421723.25,-4.59365654,8.191502571,-0.897666097,-0.97709924,-0.854961812,-2.274809122,283.5109863,3029,1216.117188,54.46808624,1101.5625,0
20645.17169,1421731,-4.598443985,8.17474556,-0.931178927,-0.259541988,-0.564885497,-2.595419884,283.6316223,3028,1218.315063,54.46808624,1101.5625,0
20645.17873,1421738.875,-4.576900005,8.172351837,-0.947935343,0.259541988,-0.717557251,-2.381679296,283.6316223,3028,1220.512817,54.46808624,1101.5625,0
20645.17978,1421746.625,-4.562537193,8.136445045,-0.971873105,0.625954211,-0.610687017,-2.04580164,283.6316223,3028,1224.175781,54.46808624,1101.5625,0
20645.19202,1421754.5,-4.552962303,8.090963364,-0.993417144,0.97709924,-1.129770994,-1.755725145,283.6316223,3028,1227.838867,54.46808624,1101.5625,0
20645.20163,1421762.25,-4.560143471,8.016756058,-1.002992272,0.412213743,-1.770992398,-0.671755731,283.5109863,3029,1233.699585,54.46808624,1101.5625,0
20645.20267,1421770.125,-4.574506283,8.004787445,-1.000598431,-0.213740453,-2.015267134,-0.931297719,283.7523499,3027,1240.293091,54.46808624,1101.5625,0
20645.21163,1421777.875,-4.622381687,8.004787445,-1.005385995,-0.732824445,-1.312977076,-1.46564889,283.7523499,3027,1245.421265,54.46808624,1101.5625,0
20645.21858,1421785.75,-4.552962303,8.035906792,-0.943147838,-1.297709942,-0.595419824,-1.526717544,283.7523499,3027,1247.619019,54.46808624,1101.5625,0
20645.23004,1421793.5,-4.540993214,8.083782196,-0.976660669,-1.221374035,-1.374045849,-1.297709942,283.7523499,3027,1247.619019,54.46808624,1101.5625,0
20645.23752,1421801.375,-4.548174858,8.143626213,-0.947935343,-0.748091578,-1.526717544,-1.435114503,283.8731689,3026,1249.816895,54.46808624,1101.5625,0
20645.25249,1421809.125,-4.569718838,8.172351837,-0.914422512,-0.778625965,-1.389312983,-2.198473215,283.7523499,3027,1252.014648,54.46808624,1101.5625,0
20645.25847,1421817,-4.574506283,8.17474556,-0.897666097,-0.519083977,-1.282442689,-2.549618244,283.7523499,3027,1250.549438,54.46808624,1101.5625,0
20645.25948,1421824.75,-4.529024601,8.17474556,-0.900059819,-0.503816783,-1.267175555,-2.763358831,283.8731689,3026,1243.956055,54.46808624,1101.5625,0
20645.26347,1421832.625,-4.536205769,8.179533005,-0.900059819,-0.106870227,-0.732824445,-2.702290058,283.8731689,3026,1236.630005,54.46808624,1101.5625,0
20645.27346,1421840.375,-4.540993214,8.078994751,-0.919210076,-0.076335877,-1.11450386,-2.076335907,283.7523499,3027,1228.571411,54.46808624,1101.5625,0
20645.28134,1421848.25,-4.526630878,8.088569641,-0.947935343,-0.106870227,-1.419847369,-1.938931346,283.8731689,3026,1221.978027,54.46808624,1101.5625,0
20645.29236,1421856,-4.519449234,8.107720375,-1.050867796,0.015267176,-2.519083977,-1.633587837,283.9940796,3025,1213.919434,54.46808624,1101.5625,0
20645.29735,1421863.875,-4.552962303,8.078994751,-1.029323816,0,-2.274809122,-1.984732866,283.8731689,3026,1210.25647,54.46808624,1101.5625,0
20645.31402,1421871.625,-4.574506283,7.961699486,-1.012567282,-0.53435117,-2.091603041,-1.923664093,283.8731689,3026,1208.058594,54.46808624,1101.5625,0
20645.31514,1421879.5,-4.564931393,7.973668575,-0.986235797,-1.160305381,-2.076335907,-1.328244328,283.8731689,3026,1208.058594,54.46808624,1101.5625,0
20645.31631,1421887.25,-4.608019352,8.016756058,-0.991023362,-1.526717544,-2.13740468,-1.267175555,284.1151123,3024,1210.25647,54.46808624,1101.5625,0
